Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
tsuyo,tsuyo,,0,26,26,0,26,26,5,0.461988,0.596624,0,0,0.03526,52,0.000646,0,70,0,0
45123794,45123794,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,69,0,0.002219
Suxyue,Suxyue,,1,47,48,1,47,48,2,0.679389,0.764045,1096,0.007209,0.042496,41,0.000668,0,154,0.003546,0.042986
119113192,119113192,,2,1,3,2,1,3,1,1,1,15,0.003506,0,41,0.001208,0,153,0,0.019849
muchoukong,muchoukong,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.000287,41,0.000646,0,155,0,0
46951035,46951035,,1,1,2,1,1,2,4,0.344828,0.408333,0,0,0,0,0.002161,1,156,0,0.04723
144245138,144245138,,3,3,6,3,3,6,3,0.5,0.6,49,0,0,0,0.005346,1,156,0,0.174087
51711592,51711592,,2,2,4,2,2,4,4,0.37037,0.475,19,0,0,0,0.004243,1,156,0,0.057257
141890031,141890031,,4,4,8,4,4,8,3,0.588235,0.683333,52.75,0,0,0,0.004983,1,156,0.333333,0.603999
gallimard,gallimard,,5,65,70,5,65,70,6,0.498645,0.622192,2013,0.002679,0.087971,49,0.001673,0,230,0.003166,0.104089
36795841,36795841,,1,0,1,1,0,1,0,0,0,0,0.007209,0,49,0.000668,0,229,0,0.042986
melodiawon,melodiawon,,0,3,3,0,3,3,1,1,1,0,0,0,48,0.000646,2,234,0,0
44816197,44816197,,1,0,1,1,0,1,0,0,0,0,0,0,48,0.00083,2,233,0,0.002219
nimamui,nimamui,,1,147,148,1,147,148,7,0.687879,0.813184,211.5,0.003481,0.9906,7,0.000716,0,385,0.000466,0.006205
qianqian7xh,qianqian7xh,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,384,0,0.006205
78196859,78196859,,3,3,6,3,3,6,1,1,1,12,0,0.000001,20,0.011751,0,386,0,0.041388
147328212,147328212,,2,1,3,2,1,3,2,0.6,0.666667,3,0,0,20,0.004525,0,386,0,0.023984
angela.dashen,angela.dashen,,0,1,1,0,1,1,3,0.444444,0.541667,0,0,0,20,0.000646,0,387,0,0
liuxt,liuxt,,1,0,1,1,0,1,0,0,0,0,0.081181,0,7,0.000651,0,383,0,0.006205
fiona_bau,fiona_bau,,1,1,2,1,1,2,6,0.276515,0.30137,0,0.000053,0,49,0.000884,0,395,0,0.006205
luhuarock,luhuarock,,1,5,6,1,5,6,5,0.380208,0.437215,72,0,0.000641,49,0.001398,0,395,0,0.006205
56643693,56643693,,6,1,7,6,1,7,1,1,1,19,0.008665,0,49,0.007175,0,185,0.066667,0.102966
127175461,127175461,,1,1,2,1,1,2,1,1,1,0,0,0.00071,49,0.00675,0,185,0,0.045288
49341787,49341787,,2,0,2,2,0,2,0,0,0,0,0.08173,0,7,0.0012,0,382,0,0.008425
douzie,douzie,,0,1,1,0,1,1,1,1,1,0,0,0.006698,7,0.000646,0,396,0,0
sunny3333,sunny3333,,0,2,2,0,2,2,3,0.461538,0.583333,0,0,0,33,0.000646,0,399,0,0
mrdalloway,mrdalloway,,3,2,5,3,2,5,2,0.571429,0.625,8,0,0.006698,33,0.001471,0,398,0.25,0.018616
Larkspurlazarus,Larkspurlazarus,,0,1,1,0,1,1,3,0.416667,0.5,0,0,0,33,0.000646,0,400,0,0
eisenhajime,eisenhajime,,1,1,2,1,1,2,1,1,1,0,0,0,1,0.004308,3,401,0,0.006205
68750511,68750511,,1,1,2,1,1,2,1,1,1,0,0,0,1,0.004308,3,401,0,0.006205
monkaju,monkaju,,2,0,2,2,0,2,0,0,0,0,0.084663,0,41,0.000663,0,151,0,0.023835
50659341,50659341,,1,0,1,1,0,1,0,0,0,0,0.00289,0,52,0.000668,0,68,0,0.002219
156952431,156952431,,1,1,2,1,1,2,1,1,1,0,0,0,2,0.004308,4,402,0,0.006205
145838255,145838255,,1,1,2,1,1,2,1,1,1,0,0,0,2,0.004308,4,402,0,0.006205
156016222,156016222,,1,1,2,1,1,2,4,0.384615,0.483333,0,0,0,52,0.002901,0,360,0,0.016187
153950189,153950189,,2,2,4,2,2,4,3,0.555556,0.666667,11,0,0,52,0.005305,0,360,0,0.031603
